iter	Passed	Remaining
0	4	463
1	8	392
2	11	364
3	14	338
4	16	320
5	19	307
6	22	299
7	25	296
8	28	285
9	31	279
10	33	273
11	36	269
12	39	265
13	42	261
14	44	254
15	47	251
16	51	249
17	54	246
18	57	244
19	59	238
20	62	234
21	64	229
22	67	226
23	69	221
24	72	218
25	75	215
26	78	213
27	81	209
28	87	213
29	108	252
30	119	265
31	130	277
32	135	274
33	138	268
34	142	264
35	145	258
36	148	253
37	151	247
38	154	241
39	157	235
40	159	229
41	162	224
42	165	219
43	168	214
44	171	209
45	174	204
46	178	201
47	182	197
48	188	196
49	192	192
50	196	188
51	200	185
52	203	180
53	206	176
54	210	172
55	215	169
56	219	165
57	223	162
58	228	158
59	231	154
60	235	150
61	239	147
62	243	142
63	246	138
64	249	134
65	254	131
66	258	127
67	264	124
68	269	121
69	274	117
70	279	113
71	283	110
72	288	106
73	292	102
74	296	98
75	301	95
76	303	90
77	308	86
78	313	83
79	316	79
80	319	74
81	324	71
82	328	67
83	333	63
84	339	59
85	345	56
86	348	52
87	355	48
88	359	44
89	365	40
90	371	36
91	375	32
92	381	28
93	385	24
94	388	20
95	392	16
96	395	12
97	397	8
98	400	4
99	403	0
